degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Science_and_Engineering_Related_Fields,Vermont,Science_and_Engineering_Related_Fields,25_to_39_years,61332,11190
25_to_39_years_Business,Vermont,Business,25_to_39_years,61781,3922
25_to_39_years_Education,Vermont,Education,25_to_39_years,53148,8442
25_to_39_years_Literature_and_Languages,Vermont,Literature_and_Languages,25_to_39_years,55387,8139
25_to_39_years_Liberal_Arts_and_History,Vermont,Liberal_Arts_and_History,25_to_39_years,51825,3904
25_to_39_years_Visual_and_Performing_Arts,Vermont,Visual_and_Performing_Arts,25_to_39_years,41655,12013
25_to_39_years_Communications,Vermont,Communications,25_to_39_years,53478,6232
25_to_39_years_Other,Vermont,Other,25_to_39_years,55186,11586
40_to_64_years_40_to_64_years,Vermont,40_to_64_years,40_to_64_years,69193,2743
40_to_64_years_Computers_Mathematics_and_Statistics,Vermont,Computers_Mathematics_and_Statistics,40_to_64_years,87849,11096
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Vermont,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,77454,10087
40_to_64_years_Physical_and_Related_Sciences,Vermont,Physical_and_Related_Sciences,40_to_64_years,86429,13733
40_to_64_years_Psychology,Vermont,Psychology,40_to_64_years,74538,4438
40_to_64_years_Social_Sciences,Vermont,Social_Sciences,40_to_64_years,69529,6705
40_to_64_years_Engineering,Vermont,Engineering,40_to_64_years,105170,6458
40_to_64_years_Multidisciplinary_Studies,Vermont,Multidisciplinary_Studies,40_to_64_years,67466,29576
40_to_64_years_Science_and_Engineering_Related_Fields,Vermont,Science_and_Engineering_Related_Fields,40_to_64_years,76939,11125
40_to_64_years_Business,Vermont,Business,40_to_64_years,67898,12355
40_to_64_years_Education,Vermont,Education,40_to_64_years,61688,5099
40_to_64_years_Literature_and_Languages,Vermont,Literature_and_Languages,40_to_64_years,52626,7617
40_to_64_years_Liberal_Arts_and_History,Vermont,Liberal_Arts_and_History,40_to_64_years,70074,8616
40_to_64_years_Visual_and_Performing_Arts,Vermont,Visual_and_Performing_Arts,40_to_64_years,55331,8677
40_to_64_years_Communications,Vermont,Communications,40_to_64_years,61306,6109
40_to_64_years_Other,Vermont,Other,40_to_64_years,64367,7779
Total,Virginia,Total,Total,84017,855
25_to_39_years_25_to_39_years,Virginia,25_to_39_years,25_to_39_years,71413,1090
25_to_39_years_Computers_Mathematics_and_Statistics,Virginia,Computers_Mathematics_and_Statistics,25_to_39_years,93857,4656
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Virginia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64988,4469
25_to_39_years_Physical_and_Related_Sciences,Virginia,Physical_and_Related_Sciences,25_to_39_years,71472,5222
25_to_39_years_Psychology,Virginia,Psychology,25_to_39_years,62090,3549
25_to_39_years_Social_Sciences,Virginia,Social_Sciences,25_to_39_years,80622,2425
25_to_39_years_Engineering,Virginia,Engineering,25_to_39_years,96127,3952
25_to_39_years_Multidisciplinary_Studies,Virginia,Multidisciplinary_Studies,25_to_39_years,64350,7976
25_to_39_years_Science_and_Engineering_Related_Fields,Virginia,Science_and_Engineering_Related_Fields,25_to_39_years,68817,3278
25_to_39_years_Business,Virginia,Business,25_to_39_years,79727,3601
25_to_39_years_Education,Virginia,Education,25_to_39_years,52500,1666
25_to_39_years_Literature_and_Languages,Virginia,Literature_and_Languages,25_to_39_years,58213,5776
25_to_39_years_Liberal_Arts_and_History,Virginia,Liberal_Arts_and_History,25_to_39_years,61513,3849
25_to_39_years_Visual_and_Performing_Arts,Virginia,Visual_and_Performing_Arts,25_to_39_years,52254,2909
25_to_39_years_Communications,Virginia,Communications,25_to_39_years,61260,3535
25_to_39_years_Other,Virginia,Other,25_to_39_years,64290,3642
40_to_64_years_40_to_64_years,Virginia,40_to_64_years,40_to_64_years,98855,1801
40_to_64_years_Computers_Mathematics_and_Statistics,Virginia,Computers_Mathematics_and_Statistics,40_to_64_years,129127,6519
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Virginia,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,108581,12896
40_to_64_years_Physical_and_Related_Sciences,Virginia,Physical_and_Related_Sciences,40_to_64_years,125085,13067
40_to_64_years_Psychology,Virginia,Psychology,40_to_64_years,67523,5829
40_to_64_years_Social_Sciences,Virginia,Social_Sciences,40_to_64_years,111191,7572
40_to_64_years_Engineering,Virginia,Engineering,40_to_64_years,137386,4004
40_to_64_years_Multidisciplinary_Studies,Virginia,Multidisciplinary_Studies,40_to_64_years,89371,12737
40_to_64_years_Science_and_Engineering_Related_Fields,Virginia,Science_and_Engineering_Related_Fields,40_to_64_years,89526,3776
40_to_64_years_Business,Virginia,Business,40_to_64_years,102093,1768
40_to_64_years_Education,Virginia,Education,40_to_64_years,62319,2674
40_to_64_years_Literature_and_Languages,Virginia,Literature_and_Languages,40_to_64_years,84550,7192
40_to_64_years_Liberal_Arts_and_History,Virginia,Liberal_Arts_and_History,40_to_64_years,93782,5037
40_to_64_years_Visual_and_Performing_Arts,Virginia,Visual_and_Performing_Arts,40_to_64_years,71449,9119
40_to_64_years_Communications,Virginia,Communications,40_to_64_years,85313,4378
40_to_64_years_Other,Virginia,Other,40_to_64_years,85108,3479
Total,Washington,Total,Total,87357,1201
25_to_39_years_25_to_39_years,Washington,25_to_39_years,25_to_39_years,79114,1414
25_to_39_years_Computers_Mathematics_and_Statistics,Washington,Computers_Mathematics_and_Statistics,25_to_39_years,135351,8858
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Washington,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,69734,3796
25_to_39_years_Physical_and_Related_Sciences,Washington,Physical_and_Related_Sciences,25_to_39_years,85392,7054
25_to_39_years_Psychology,Washington,Psychology,25_to_39_years,60544,5540
25_to_39_years_Social_Sciences,Washington,Social_Sciences,25_to_39_years,81707,3879
25_to_39_years_Engineering,Washington,Engineering,25_to_39_years,121316,4545
25_to_39_years_Multidisciplinary_Studies,Washington,Multidisciplinary_Studies,25_to_39_years,61167,10248
25_to_39_years_Science_and_Engineering_Related_Fields,Washington,Science_and_Engineering_Related_Fields,25_to_39_years,73866,3619
25_to_39_years_Business,Washington,Business,25_to_39_years,82186,3173
25_to_39_years_Education,Washington,Education,25_to_39_years,59548,4059
25_to_39_years_Literature_and_Languages,Washington,Literature_and_Languages,25_to_39_years,62395,3434
25_to_39_years_Liberal_Arts_and_History,Washington,Liberal_Arts_and_History,25_to_39_years,62023,5493
25_to_39_years_Visual_and_Performing_Arts,Washington,Visual_and_Performing_Arts,25_to_39_years,49924,4729
25_to_39_years_Communications,Washington,Communications,25_to_39_years,69243,5468
25_to_39_years_Other,Washington,Other,25_to_39_years,62950,3533
40_to_64_years_40_to_64_years,Washington,40_to_64_years,40_to_64_years,97368,2026
40_to_64_years_Computers_Mathematics_and_Statistics,Washington,Computers_Mathematics_and_Statistics,40_to_64_years,142368,11589
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Washington,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,99461,6205
40_to_64_years_Physical_and_Related_Sciences,Washington,Physical_and_Related_Sciences,40_to_64_years,113407,11238
40_to_64_years_Psychology,Washington,Psychology,40_to_64_years,87158,6019
40_to_64_years_Social_Sciences,Washington,Social_Sciences,40_to_64_years,96235,5090
40_to_64_years_Engineering,Washington,Engineering,40_to_64_years,145916,6298
40_to_64_years_Multidisciplinary_Studies,Washington,Multidisciplinary_Studies,40_to_64_years,104733,11319
40_to_64_years_Science_and_Engineering_Related_Fields,Washington,Science_and_Engineering_Related_Fields,40_to_64_years,94235,2676
40_to_64_years_Business,Washington,Business,40_to_64_years,96166,4297
40_to_64_years_Education,Washington,Education,40_to_64_years,80503,3531
40_to_64_years_Literature_and_Languages,Washington,Literature_and_Languages,40_to_64_years,77091,4052
40_to_64_years_Liberal_Arts_and_History,Washington,Liberal_Arts_and_History,40_to_64_years,82999,4400
40_to_64_years_Visual_and_Performing_Arts,Washington,Visual_and_Performing_Arts,40_to_64_years,67456,5028
40_to_64_years_Communications,Washington,Communications,40_to_64_years,81211,6050
40_to_64_years_Other,Washington,Other,40_to_64_years,81634,5209
Total,West_Virginia,Total,Total,58901,2022
25_to_39_years_25_to_39_years,West_Virginia,25_to_39_years,25_to_39_years,49987,2422
25_to_39_years_Computers_Mathematics_and_Statistics,West_Virginia,Computers_Mathematics_and_Statistics,25_to_39_years,69118,25216
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,West_Virginia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,51116,4527
25_to_39_years_Physical_and_Related_Sciences,West_Virginia,Physical_and_Related_Sciences,25_to_39_years,50096,19681
25_to_39_years_Psychology,West_Virginia,Psychology,25_to_39_years,41476,8007
25_to_39_years_Social_Sciences,West_Virginia,Social_Sciences,25_to_39_years,54633,19780
25_to_39_years_Engineering,West_Virginia,Engineering,25_to_39_years,85176,19327
25_to_39_years_Multidisciplinary_Studies,West_Virginia,Multidisciplinary_Studies,25_to_39_years,45227,25815
25_to_39_years_Science_and_Engineering_Related_Fields,West_Virginia,Science_and_Engineering_Related_Fields,25_to_39_years,53949,8006
25_to_39_years_Business,West_Virginia,Business,25_to_39_years,55497,11606
25_to_39_years_Education,West_Virginia,Education,25_to_39_years,43243,2761
25_to_39_years_Literature_and_Languages,West_Virginia,Literature_and_Languages,25_to_39_years,36659,8203
25_to_39_years_Liberal_Arts_and_History,West_Virginia,Liberal_Arts_and_History,25_to_39_years,56206,15891
25_to_39_years_Visual_and_Performing_Arts,West_Virginia,Visual_and_Performing_Arts,25_to_39_years,49295,17203
25_to_39_years_Communications,West_Virginia,Communications,25_to_39_years,47083,9630
25_to_39_years_Other,West_Virginia,Other,25_to_39_years,41460,2707
40_to_64_years_40_to_64_years,West_Virginia,40_to_64_years,40_to_64_years,67131,3106
40_to_64_years_Computers_Mathematics_and_Statistics,West_Virginia,Computers_Mathematics_and_Statistics,40_to_64_years,91616,29441
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,West_Virginia,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,106507,16924
40_to_64_years_Physical_and_Related_Sciences,West_Virginia,Physical_and_Related_Sciences,40_to_64_years,126082,40197
40_to_64_years_Psychology,West_Virginia,Psychology,40_to_64_years,58280,17426
40_to_64_years_Social_Sciences,West_Virginia,Social_Sciences,40_to_64_years,87986,19033
40_to_64_years_Engineering,West_Virginia,Engineering,40_to_64_years,100853,10745
40_to_64_years_Multidisciplinary_Studies,West_Virginia,Multidisciplinary_Studies,40_to_64_years,43526,1453
40_to_64_years_Science_and_Engineering_Related_Fields,West_Virginia,Science_and_Engineering_Related_Fields,40_to_64_years,70984,6183
40_to_64_years_Business,West_Virginia,Business,40_to_64_years,73340,7587
40_to_64_years_Education,West_Virginia,Education,40_to_64_years,52367,2114
40_to_64_years_Literature_and_Languages,West_Virginia,Literature_and_Languages,40_to_64_years,68368,12449
40_to_64_years_Liberal_Arts_and_History,West_Virginia,Liberal_Arts_and_History,40_to_64_years,60407,15592
40_to_64_years_Visual_and_Performing_Arts,West_Virginia,Visual_and_Performing_Arts,40_to_64_years,55743,10563
40_to_64_years_Communications,West_Virginia,Communications,40_to_64_years,53022,15989
40_to_64_years_Other,West_Virginia,Other,40_to_64_years,55781,4313
Total,Wisconsin,Total,Total,67829,869
25_to_39_years_25_to_39_years,Wisconsin,25_to_39_years,25_to_39_years,60537,904
25_to_39_years_Computers_Mathematics_and_Statistics,Wisconsin,Computers_Mathematics_and_Statistics,25_to_39_years,78653,7908
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Wisconsin,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,58500,3003
25_to_39_years_Physical_and_Related_Sciences,Wisconsin,Physical_and_Related_Sciences,25_to_39_years,61158,4738
25_to_39_years_Psychology,Wisconsin,Psychology,25_to_39_years,51409,3361
25_to_39_years_Social_Sciences,Wisconsin,Social_Sciences,25_to_39_years,61534,4305
25_to_39_years_Engineering,Wisconsin,Engineering,25_to_39_years,85767,3003
25_to_39_years_Multidisciplinary_Studies,Wisconsin,Multidisciplinary_Studies,25_to_39_years,60964,8883
25_to_39_years_Science_and_Engineering_Related_Fields,Wisconsin,Science_and_Engineering_Related_Fields,25_to_39_years,64572,2118
25_to_39_years_Business,Wisconsin,Business,25_to_39_years,69682,2847
25_to_39_years_Education,Wisconsin,Education,25_to_39_years,48960,1043
25_to_39_years_Literature_and_Languages,Wisconsin,Literature_and_Languages,25_to_39_years,51807,3472
25_to_39_years_Liberal_Arts_and_History,Wisconsin,Liberal_Arts_and_History,25_to_39_years,51913,2130
25_to_39_years_Visual_and_Performing_Arts,Wisconsin,Visual_and_Performing_Arts,25_to_39_years,47765,5213
25_to_39_years_Communications,Wisconsin,Communications,25_to_39_years,60818,3866
25_to_39_years_Other,Wisconsin,Other,25_to_39_years,54895,1912
40_to_64_years_40_to_64_years,Wisconsin,40_to_64_years,40_to_64_years,74979,991
40_to_64_years_Computers_Mathematics_and_Statistics,Wisconsin,Computers_Mathematics_and_Statistics,40_to_64_years,99125,4248
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Wisconsin,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,82900,5279
40_to_64_years_Physical_and_Related_Sciences,Wisconsin,Physical_and_Related_Sciences,40_to_64_years,93326,8354
40_to_64_years_Psychology,Wisconsin,Psychology,40_to_64_years,63806,7045
40_to_64_years_Social_Sciences,Wisconsin,Social_Sciences,40_to_64_years,76009,3512
40_to_64_years_Engineering,Wisconsin,Engineering,40_to_64_years,120126,5713
40_to_64_years_Multidisciplinary_Studies,Wisconsin,Multidisciplinary_Studies,40_to_64_years,70870,15563
40_to_64_years_Science_and_Engineering_Related_Fields,Wisconsin,Science_and_Engineering_Related_Fields,40_to_64_years,80203,1981
40_to_64_years_Business,Wisconsin,Business,40_to_64_years,82394,2728
40_to_64_years_Education,Wisconsin,Education,40_to_64_years,61044,1336
40_to_64_years_Literature_and_Languages,Wisconsin,Literature_and_Languages,40_to_64_years,67100,5559
40_to_64_years_Liberal_Arts_and_History,Wisconsin,Liberal_Arts_and_History,40_to_64_years,62493,5772
40_to_64_years_Visual_and_Performing_Arts,Wisconsin,Visual_and_Performing_Arts,40_to_64_years,54971,4770
40_to_64_years_Communications,Wisconsin,Communications,40_to_64_years,67396,5516
40_to_64_years_Other,Wisconsin,Other,40_to_64_years,64876,4265
Total,Wyoming,Total,Total,62659,1943
25_to_39_years_25_to_39_years,Wyoming,25_to_39_years,25_to_39_years,55310,3376
25_to_39_years_Computers_Mathematics_and_Statistics,Wyoming,Computers_Mathematics_and_Statistics,25_to_39_years,63833,8983
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Wyoming,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,61922,11994
25_to_39_years_Physical_and_Related_Sciences,Wyoming,Physical_and_Related_Sciences,25_to_39_years,70631,21086
25_to_39_years_Psychology,Wyoming,Psychology,25_to_39_years,63625,19892
25_to_39_years_Social_Sciences,Wyoming,Social_Sciences,25_to_39_years,46847,13452
25_to_39_years_Engineering,Wyoming,Engineering,25_to_39_years,68889,17711
25_to_39_years_Multidisciplinary_Studies,Wyoming,Multidisciplinary_Studies,25_to_39_years,90362,53072
25_to_39_years_Science_and_Engineering_Related_Fields,Wyoming,Science_and_Engineering_Related_Fields,25_to_39_years,61609,6194
25_to_39_years_Business,Wyoming,Business,25_to_39_years,56633,10800
25_to_39_years_Education,Wyoming,Education,25_to_39_years,56192,7339
25_to_39_years_Literature_and_Languages,Wyoming,Literature_and_Languages,25_to_39_years,44415,14616
25_to_39_years_Liberal_Arts_and_History,Wyoming,Liberal_Arts_and_History,25_to_39_years,48954,17676
25_to_39_years_Visual_and_Performing_Arts,Wyoming,Visual_and_Performing_Arts,25_to_39_years,41733,11685
25_to_39_years_Communications,Wyoming,Communications,25_to_39_years,37996,10846
25_to_39_years_Other,Wyoming,Other,25_to_39_years,52385,14084
40_to_64_years_40_to_64_years,Wyoming,40_to_64_years,40_to_64_years,69152,2309
40_to_64_years_Computers_Mathematics_and_Statistics,Wyoming,Computers_Mathematics_and_Statistics,40_to_64_years,84304,23570
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Wyoming,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,70906,14606
40_to_64_years_Physical_and_Related_Sciences,Wyoming,Physical_and_Related_Sciences,40_to_64_years,69012,29965
40_to_64_years_Psychology,Wyoming,Psychology,40_to_64_years,64167,33300
40_to_64_years_Social_Sciences,Wyoming,Social_Sciences,40_to_64_years,73800,12883
40_to_64_years_Engineering,Wyoming,Engineering,40_to_64_years,125291,44867
40_to_64_years_Multidisciplinary_Studies,Wyoming,Multidisciplinary_Studies,40_to_64_years,,
40_to_64_years_Science_and_Engineering_Related_Fields,Wyoming,Science_and_Engineering_Related_Fields,40_to_64_years,72918,7526
40_to_64_years_Business,Wyoming,Business,40_to_64_years,89844,22170
40_to_64_years_Education,Wyoming,Education,40_to_64_years,58724,9290
40_to_64_years_Literature_and_Languages,Wyoming,Literature_and_Languages,40_to_64_years,65603,21195
40_to_64_years_Liberal_Arts_and_History,Wyoming,Liberal_Arts_and_History,40_to_64_years,46791,13172
40_to_64_years_Visual_and_Performing_Arts,Wyoming,Visual_and_Performing_Arts,40_to_64_years,51546,3514
40_to_64_years_Communications,Wyoming,Communications,40_to_64_years,66086,23621
40_to_64_years_Other,Wyoming,Other,40_to_64_years,65315,14154
Total,Puerto_Rico,Total,Total,30959,695
25_to_39_years_25_to_39_years,Puerto_Rico,25_to_39_years,25_to_39_years,24387,1173
25_to_39_years_Computers_Mathematics_and_Statistics,Puerto_Rico,Computers_Mathematics_and_Statistics,25_to_39_years,24031,5118
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Puerto_Rico,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,25944,5633
25_to_39_years_Physical_and_Related_Sciences,Puerto_Rico,Physical_and_Related_Sciences,25_to_39_years,34748,16509
25_to_39_years_Psychology,Puerto_Rico,Psychology,25_to_39_years,20710,1817
25_to_39_years_Social_Sciences,Puerto_Rico,Social_Sciences,25_to_39_years,24451,4460
25_to_39_years_Engineering,Puerto_Rico,Engineering,25_to_39_years,53828,8541
25_to_39_years_Multidisciplinary_Studies,Puerto_Rico,Multidisciplinary_Studies,25_to_39_years,26406,41148
25_to_39_years_Science_and_Engineering_Related_Fields,Puerto_Rico,Science_and_Engineering_Related_Fields,25_to_39_years,25689,1702
25_to_39_years_Business,Puerto_Rico,Business,25_to_39_years,26982,2352
25_to_39_years_Education,Puerto_Rico,Education,25_to_39_years,22058,900
25_to_39_years_Literature_and_Languages,Puerto_Rico,Literature_and_Languages,25_to_39_years,16992,6140
25_to_39_years_Liberal_Arts_and_History,Puerto_Rico,Liberal_Arts_and_History,25_to_39_years,19752,8012
25_to_39_years_Visual_and_Performing_Arts,Puerto_Rico,Visual_and_Performing_Arts,25_to_39_years,17147,4036
25_to_39_years_Communications,Puerto_Rico,Communications,25_to_39_years,23692,7251
25_to_39_years_Other,Puerto_Rico,Other,25_to_39_years,20729,2491
40_to_64_years_40_to_64_years,Puerto_Rico,40_to_64_years,40_to_64_years,36562,1157
40_to_64_years_Computers_Mathematics_and_Statistics,Puerto_Rico,Computers_Mathematics_and_Statistics,40_to_64_years,38263,8866
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Puerto_Rico,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,53006,9159
40_to_64_years_Physical_and_Related_Sciences,Puerto_Rico,Physical_and_Related_Sciences,40_to_64_years,55702,26979
40_to_64_years_Psychology,Puerto_Rico,Psychology,40_to_64_years,41494,6268
40_to_64_years_Social_Sciences,Puerto_Rico,Social_Sciences,40_to_64_years,41549,4026
40_to_64_years_Engineering,Puerto_Rico,Engineering,40_to_64_years,80745,16618
40_to_64_years_Multidisciplinary_Studies,Puerto_Rico,Multidisciplinary_Studies,40_to_64_years,39857,6244
40_to_64_years_Science_and_Engineering_Related_Fields,Puerto_Rico,Science_and_Engineering_Related_Fields,40_to_64_years,38291,4084
40_to_64_years_Business,Puerto_Rico,Business,40_to_64_years,35725,1763
40_to_64_years_Education,Puerto_Rico,Education,40_to_64_years,28373,1569
40_to_64_years_Literature_and_Languages,Puerto_Rico,Literature_and_Languages,40_to_64_years,33706,10368
40_to_64_years_Liberal_Arts_and_History,Puerto_Rico,Liberal_Arts_and_History,40_to_64_years,28894,6639
40_to_64_years_Visual_and_Performing_Arts,Puerto_Rico,Visual_and_Performing_Arts,40_to_64_years,25708,4152
40_to_64_years_Communications,Puerto_Rico,Communications,40_to_64_years,35199,12150
40_to_64_years_Other,Puerto_Rico,Other,40_to_64_years,35032,4259
